addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
전북특별자치도 정읍시 고부면 영원로 596-31,,37,0,A02,A0205,A02050200,1626573,12,2.01E+13,139898.3774,http://tong.visitkorea.or.kr/cms/resource/18/3364518_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3364518_image3_1.JPG,Type3,126.7783665,35.61532223,6,2.02E+13,13,,남복리오층석탑
부산광역시 부산진구 진남로 300 남부산교회,,6,,A02,A0201,A02010900,2944336,12,2.02E+13,194534.8545,http://tong.visitkorea.or.kr/cms/resource/00/2947000_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2947000_image3_1.jpg,Type1,129.0732462,35.15237627,6,2.02E+13,7,,남부산교회
경기도 부천시 연동로 89,(옥길동),31,0,A02,A0202,A02020700,2736408,12,2.02E+13,131469.9707,,,,126.8274069,37.47032106,6,2.02E+13,11,,남부수자원생태공원
경상남도 산청군 단성면 지리산대로2897번길 10,,36,0,A02,A0201,A02010600,128440,12,2.01E+13,145031.4093,http://tong.visitkorea.or.kr/cms/resource/44/3096544_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/3096544_image3_1.JPG,Type1,127.9364785,35.27419481,6,2.02E+13,9,,남사예담촌
서울특별시 용산구 소월로 323,,1,0,A01,A0101,A01010700,1603482,12,2.01E+13,128632.6478,,,,126.9969034,37.54156581,6,2.02E+13,21,,남산 야외식물원
서울특별시 중구 소파로 83,,1,0,A02,A0203,A02030400,128776,12,2.01E+13,130689.0174,,,,126.9841041,37.55699712,6,2.02E+13,24,,남산 케이블카
서울특별시 중구 예장동 8-1,,1,0,A02,A0205,A02050600,1603336,12,2.01E+13,130020.6636,,,,126.9876206,37.55163947,6,2.02E+13,24,,남산 팔각정
경상북도 경주시 남산순환로 341-126,(배동),35,0,A01,A0102,A01020200,2614490,12,2.02E+13,153490.2653,http://tong.visitkorea.or.kr/cms/resource/85/2614485_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/85/2614485_image2_1.bmp,Type3,129.2217931,35.79499292,6,2.02E+13,2,,남산 화강암 (경북 동해안 국가지질공원)
서울특별시 중구 퇴계로34길 28,(필동2가),1,1,A02,A0201,A02010600,126747,12,2.00E+13,130401.9034,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1946562_image3_1.jpg,Type3,126.9940059,37.55912483,6,2.02E+13,24,,남산골한옥마을
경상남도 고성군 고성읍 동외로47번길 70,,36,0,A01,A0101,A01010500,128658,12,2.01E+13,184674.6509,,,,128.3271579,34.96735845,6,2.02E+13,3,,남산공원(고성)
서울특별시 중구 삼일대로 231,,1,0,A02,A0202,A02020700,126485,12,2.00E+13,130170.6834,,,,126.9922506,37.55571131,6,2.02E+13,24,,남산공원(서울)
전라남도 화순군 화순읍 진각로 87,(화순읍),38,0,A02,A0202,A02020700,127355,12,2.00E+13,183196.6432,,,,126.9849483,35.05912758,6,2.02E+13,24,,남산공원(화순)
대구광역시 중구 남산로4길 112 (남산동),,4,0,A02,A0203,A02030100,1935606,12,2.01E+13,105858.1226,,,,128.5861109,35.86180407,6,2.02E+13,8,,남산동 가톨릭타운(대구)
전라남도 구례군 토지면 내서리,,38,0,A02,A0203,A02030100,2787507,12,2.02E+13,149673.9626,http://tong.visitkorea.or.kr/cms/resource/07/2790307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2790307_image2_1.jpg,Type3,127.5733169,35.23953956,6,2.02E+13,5,,남산마을
전북특별자치도 정읍시 북면 정신로 183-64,,37,0,A02,A0201,A02010800,298205,12,2.01E+13,135783.8377,http://tong.visitkorea.or.kr/cms/resource/39/1605639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1605639_image3_1.jpg,Type3,126.8623314,35.60850777,6,2.02E+13,13,,남산사(정읍)
